observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-10T02:28:53.048Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-10T02:29:19.676Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-11T07:18:51.860Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-12T07:19:27.872Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-14T07:15:27.521Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-15T07:19:52.733Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-16T07:31:33.598Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-17T07:23:24.394Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-18T07:23:29.618Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-19T07:21:37.334Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-21T07:14:23.534Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-22T07:16:51.149Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-23T07:29:22.232Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-25T07:22:53.938Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-26T07:27:50.463Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-27T07:28:21.328Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-28T07:20:08.080Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-29T07:23:26.072Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-03-30T07:32:26.442Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-03-31T07:31:12.443Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-04-01T07:32:07.892Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-04-02T07:30:21.397Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-04-03T07:28:05.489Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-04-04T07:22:41.425Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-04-05T07:25:13.929Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,13,13 subscribers,public-cache
2026-04-06T07:32:38.453Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,14,14 subscribers,public-cache
2026-04-07T07:31:31.147Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,14,14 subscribers,public-cache
2026-04-08T07:32:01.185Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,14,14 subscribers,public-cache
2026-04-09T07:32:14.803Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,14,14 subscribers,public-cache
