observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-10T02:28:53.048Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-10T02:29:19.676Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-11T07:18:51.860Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-12T07:19:27.872Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-14T07:15:27.521Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-15T07:19:52.733Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-16T07:31:33.598Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-17T07:23:24.394Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-18T07:23:29.618Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-19T07:21:37.334Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
2026-03-21T07:14:23.534Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,10,10 subscribers,public-cache
