observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-05-08T22:14:03.414Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,489,489 Followers,public-cache
2026-05-08T22:35:08.872Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,489,489 Followers,public-cache
2026-05-08T22:38:58.806Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,489,489 Followers,public-cache
2026-05-09T08:25:37.410Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,489,489 Followers,public-cache
2026-05-10T08:51:08.974Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,492,492 Followers,public-cache
2026-05-11T10:32:45.615Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,492,492 Followers,public-cache
2026-05-12T09:31:49.899Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,493,493 Followers,public-cache
2026-05-13T09:39:10.379Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,492,492 Followers,public-cache
2026-05-14T09:30:29.919Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,492,492 Followers,public-cache
2026-05-15T09:42:44.813Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,492,492 Followers,public-cache
2026-05-16T08:46:51.368Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,495,495 Followers,public-cache
2026-05-17T09:00:43.879Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,494,494 Followers,public-cache
2026-05-18T11:02:01.137Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,495,495 Followers,public-cache
2026-05-19T10:35:36.529Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,496,496 Followers,public-cache
2026-05-20T10:22:40.607Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,496,496 Followers,public-cache
2026-05-21T10:36:09.022Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,496,496 Followers,public-cache
2026-05-22T10:20:39.410Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,498,498 Followers,public-cache
2026-05-23T09:00:27.351Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,498,498 Followers,public-cache
2026-05-24T09:17:22.978Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,499,499 Followers,public-cache
2026-05-25T11:07:07.033Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,501,501 Followers,public-cache
2026-05-27T10:53:01.280Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,507,507 Followers,public-cache
2026-05-28T10:49:14.524Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,508,508 Followers,public-cache
2026-05-29T10:40:54.587Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,512,512 Followers,public-cache
2026-05-30T09:12:11.413Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,519,519 Followers,public-cache
2026-05-31T09:46:08.584Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,526,526 Followers,public-cache
2026-06-01T12:32:11.526Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,527,527 Followers,public-cache
2026-06-02T11:14:51.618Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,534,534 Followers,public-cache
2026-06-03T11:52:39.983Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,537,537 Followers,public-cache
2026-06-04T10:36:23.701Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,538,538 Followers,public-cache
2026-06-05T10:43:08.210Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,539,539 Followers,public-cache
2026-06-06T09:21:37.152Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,542,542 Followers,public-cache
2026-06-07T09:57:57.768Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,543,543 Followers,public-cache
2026-06-08T11:52:10.391Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,544,544 Followers,public-cache
2026-06-09T10:31:22.587Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,550,550 Followers,public-cache
2026-06-10T10:52:32.665Z,the-bitcoin-nova-x,x,thebitcoinnova,https://x.com/TheBitcoinNova,followers,552,552 Followers,public-cache
