observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-10T02:28:53.048Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-10T02:29:19.676Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-11T07:18:51.860Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-12T07:19:27.872Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-14T07:15:27.521Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-15T07:19:52.733Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-16T07:31:33.598Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-17T07:23:24.394Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-18T07:23:29.618Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-19T07:21:37.334Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-21T07:14:23.534Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-22T07:16:51.149Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-23T07:29:22.232Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-25T07:22:53.938Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-26T07:27:50.463Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-27T07:28:21.328Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-28T07:20:08.080Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-29T07:23:26.072Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-30T07:32:26.442Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-31T07:31:12.443Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
